"shapeid","x","y"
"40.0","294044.114","93705.011"
"40.0","294009.92","93684.882"
"40.0","293998.3733669882","93684.91782019663"
"41.0","293998.3733669882","93684.91782019663"
"41.0","293931.589","93685.125"
"41.0","293917.281","93677.364"
"41.0","293895.10974297294","93678.55661915899"
"42.0","291140.03000967536","90030.18406232286"
"42.0","291134.0","90048.0"
"42.0","291099.0","90139.0"
"42.0","291091.677","90194.67"
"43.0","290222.06655904907","91331.75829126824"
"43.0","290307.0","91236.0"
"43.0","290327.0","91208.0"
"43.0","290344.41859042255","91173.42279811644"
"44.0","290181.0","91357.0"
"44.0","290205.0","91351.0"
"44.0","290222.06655904907","91331.75829126824"
"45.0","290344.41859042255","91173.42279811644"
"45.0","290394.0","91075.0"
"45.0","290468.0","90995.0"
"45.0","290497.0","90974.0"
"45.0","290517.0","90997.0"
"45.0","290531.756769452","90984.75502109302"
"46.0","290531.756769452","90984.75502109302"
"46.0","290564.0","90958.0"
"46.0","290649.456","90903.053"
"47.0","292923.40686745127","90449.41735847486"
"47.0","292982.369","90327.834"
"47.0","293001.052","90314.687"
"47.0","293080.995","90284.836"
"47.0","293117.534","90260.444"
"47.0","293179.781","90187.852"
"47.0","293244.074","90125.598"
"48.0","292766.596","90713.472"
"48.0","292898.476","90558.911"
"48.0","292917.978","90460.612"
"48.0","292923.40686745127","90449.41735847486"
"49.0","290902.0","92246.0"
"49.0","290907.9023552689","92187.74631973753"
"50.0","290907.9023552689","92187.74631973753"
"50.0","290925.0","92019.0"
"51.0","290209.0","92862.977"
"51.0","290164.853","92860.743"
"51.0","290138.0090718337","92874.16460456308"
"52.0","290138.0090718337","92874.16460456308"
"52.0","290127.52","92879.409"
"52.0","290058.43","92884.015"
"52.0","290021.7176661502","92894.1958841739"
"53.0","290021.7176661502","92761.978544186"
"53.0","290082.0","92754.0"
"53.0","290219.0","92699.0"
"54.0","290751.0","92841.0"
"54.0","290804.0","92832.0"
"54.0","290821.0","92818.0"
"54.0","290845.0","92676.0"
"54.0","290843.0","92642.0"
"55.0","291512.09506571246","92956.49916652864"
"55.0","291536.0","92922.0"
"56.0","291401.0","93154.0"
"56.0","291448.0","93049.0"
"56.0","291462.47085619735","93028.11592344248"
"57.0","291462.47085619735","93028.11592344248"
"57.0","291512.09506571246","92956.49916652864"
"58.0","290802.7642179957","93229.97215640225"
"58.0","290807.938328719","93147.42354522459"
"59.0","290797.645","93311.645"
"59.0","290802.7642179957","93229.97215640225"
"60.0","290807.938328719","93147.42354522459"
"60.0","290810.277","93110.112"
"61.0","290133.4104761405","91582.04109363182"
"61.0","290115.0","91640.0"
