"shapeid","x","y","best_server"
"3686.0","291679.0","91938.0","22"
"3686.0","291671.033","91937.276","22"
"3789.0","291972.0","91959.0","9"
"3789.0","291954.0","91959.0","9"
"3789.0","291923.734","91947.525","9"
"3791.0","291635.34586","91953.67959","22"
"3791.0","291624.79842","91987.04279","22"
"3800.0","291878.0","91592.0","8"
"3800.0","291884.674","91622.449","8"
"3801.0","291258.0","91329.0","6"
"3801.0","291254.0","91319.0","6"
"3802.0","291407.0","91519.0","20"
"3802.0","291437.0","91509.0","20"
"3802.0","291429.0","91479.0","20"
"3803.0","291226.553","91505.141","23"
"3803.0","291227.0","91495.0","23"
"3803.0","291236.03","91495.243","23"
"3807.0","291076.9349096397","91580.86164200986","23"
"3808.0","291136.0","91613.0","23"
"3808.0","291076.9349096397","91580.86164200986","23"
"3809.0","291008.172","91405.573",""
"3809.0","291001.0","91450.0",""
"3821.0","291382.50387751195","91085.22201413139","1"
"3821.0","291398.154","91065.949","1"
"3821.0","291400.578","91052.619","1"
"3821.0","291384.92607693654","91039.15456223342","1"
"3822.0","291377.0","91092.0","1"
"3822.0","291382.50387751195","91085.22201413139","1"
"3822.1","291384.92607693654","91039.15456223342","1"
"3822.1","291351.851","91010.702","1"
"3875.0","291727.0","91334.0","13"
"3875.0","291753.0","91315.0","13"
"3875.0","291847.42664140865","91312.71533589567","13"
"3876.0","291847.42664140865","91312.71533589567","13"
"3876.0","291876.0","91312.024","13"
"3896.0","291105.505","91764.728","4"
"3896.0","291109.0","91767.0","4"
"3897.0","291609.0","91571.0","17"
"3897.0","291578.353","91477.058","1"
"3897.0","291576.625","91471.844","1"
"3920.0","291017.0","91492.0","7"
"3920.0","291094.37804765906","91534.25609694856","7"
"3921.0","291094.37804765906","91534.25609694856","7"
"3921.0","291158.0","91569.0","23"
"3930.0","291478.0","91463.0","20"
"3930.0","291521.0","91599.0","20"
"3973.0","291519.48682","91016.9976","1"
"3978.0","291679.0","91938.0","22"
"3978.0","291697.0","91934.0","22"
"3978.0","291716.3645893732","91902.75199972324","22"
"3979.0","291716.3645893732","91902.75199972324","22"
"3979.0","291728.082","91883.844","22"
"4086.0","291136.0","91613.0","23"
"4086.0","291113.0","91657.0","4"
"4092.0","291367.0","91499.0","20"
"4092.0","291379.0","91528.0","20"
"4092.0","291407.0","91519.0","20"
"4112.0","291429.0","91479.0","20"
"4112.0","291424.46","91463.866","20"
"4112.0","291418.0","91448.0","20"
"4112.0","291388.0","91458.0","20"
"4117.0","291777.742","91884.812","10"
"4117.0","291752.0832845528","91879.62347957068","10"
"4118.0","291752.0832845528","91879.62347957068","10"
"4118.0","291749.0","91879.0","10"
"4118.0","291728.082","91883.844","22"
"4157.0","291958.0","91574.0","5"
"4157.0","291947.0","91624.0","5"
"4157.0","291946.0","91638.0","5"
"4161.0","291500.20053","91074.36075","1"
"4161.0","291527.0","91049.0","1"
"4161.0","291544.0","91020.0","1"
"4163.0","291407.0","91763.0","11"
"4163.0","291374.0","91727.0","11"
"4165.0","291109.0","91767.0","4"
"4165.0","291152.079","91796.647","16"
"4180.0","291856.065","91629.135","8"
"4180.0","291827.366","91635.842","8"
"4181.0","291662.0","91779.803","21"
"4181.0","291699.296","91777.821","21"
"4232.0","291854.539","91766.388","8"
"4232.0","291852.60000000003","91756.945","8"
"4232.0","291839.09296974126","91692.12206723385","8"
"4233.0","291839.09296974126","91692.12206723385","8"
"4233.0","291827.366","91635.842","8"
"4259.0","291632.0034404963","91326.25826876845","13"
"4259.0","291654.0","91295.0","13"
"4259.0","291683.0","91272.0","13"
